w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab,class
4,1,0,1,4.91,0,0,0,1,4,0.25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,2,0,0,1,0.75,3,0.444444444,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,1,4.26,0,0,0,1,5,0.2,72,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,2,5.24,0,0,1,1,2.5,0.4,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,1,0,1,3.37,0,0,0,1,3,0.333333333,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,2,3.37,0,0,1,1,2.5,0.4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
4,1,0,2,3.05,0,0,0,0.5,4,0.5,63,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,0,1,4.85,0,0,0,1,4,0.25,25,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,1,0,2,5.23,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,2,3.64,0,0,0,1,2.5,0.4,83,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,1,0,2,3.93,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,3.62,0,0,0,0.666666667,3.5,0.428571429,0,6,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2
5,1,0,1,3.88,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,1,3.37,0,0,0,1,3,0.333333333,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,1,0,1,3.92,0,0,0,1,4,0.25,29,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,3.97,0,0,0,1,5,0.2,0,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
3,1,0,1,5.27,0,0,0,1,3,0.333333333,9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,4.61,0,0,0,1,3,0.333333333,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,3,5.41,0,0,0,0.666666667,3,0.5,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,4.11,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
